id,ts_code,d_date,total_mv,row_num
0,601828,2018-01-02,0.0,1
1,601838,2018-01-02,0.0,2
2,603056,2018-01-02,0.0,3
3,603080,2018-01-02,0.0,4
4,603161,2018-01-02,0.0,5
5,600432,2018-01-02,0.0,6
6,600806,2018-01-02,0.0,7
7,300664,2018-01-02,0.0,8
8,300733,2018-01-02,0.0,9
9,300736,2018-01-02,0.0,10
10,002923,2018-01-02,0.0,11
11,002925,2018-01-02,0.0,12
12,000511,2018-01-02,0.0,13
13,000629,2018-01-02,0.0,14
14,000950,2018-01-02,0.0,15
15,603655,2018-01-02,10.84,16
16,300684,2018-01-02,13.32,17
17,300029,2018-01-02,15.34,18
18,300106,2018-01-02,16.65,19
19,002473,2018-01-02,16.75,20
20,002633,2018-01-02,17.4,21
21,300354,2018-01-02,17.58,22
22,002921,2018-01-02,17.7,23
23,300028,2018-01-02,17.85,24
24,300330,2018-01-02,17.99,25
25,300489,2018-01-02,18.27,26
26,000702,2018-01-02,18.58,27
27,600301,2018-01-02,18.6,28
28,000004,2018-01-02,18.76,29
29,600385,2018-01-02,18.77,30
30,600778,2018-01-02,18.78,31
31,300417,2018-01-02,19.03,32
32,300405,2018-01-02,19.28,33
33,603029,2018-01-02,19.4,34
34,300218,2018-01-02,19.46,35
35,603031,2018-01-02,19.47,36
36,600306,2018-01-02,19.52,37
37,300553,2018-01-02,19.54,38
38,600561,2018-01-02,19.58,39
39,002209,2018-01-02,19.58,40
40,300551,2018-01-02,19.59,41
41,300235,2018-01-02,19.6,42
42,300573,2018-01-02,19.74,43
43,600768,2018-01-02,19.75,44
44,300169,2018-01-02,19.85,45
45,300092,2018-01-02,19.93,46
46,300540,2018-01-02,19.94,47
47,603090,2018-01-02,19.97,48
48,300517,2018-01-02,19.98,49
49,000622,2018-01-02,19.99,50
50,600605,2018-01-02,20.02,51
51,600506,2018-01-02,20.04,52
52,000502,2018-01-02,20.16,53
53,300483,2018-01-02,20.37,54
54,300387,2018-01-02,20.39,55
55,603580,2018-01-02,20.39,56
56,600766,2018-01-02,20.47,57
57,300640,2018-01-02,20.47,58
58,300576,2018-01-02,20.51,59
59,603819,2018-01-02,20.56,60
60,300538,2018-01-02,20.59,61
61,000713,2018-01-02,20.59,62
62,600817,2018-01-02,20.6,63
63,300669,2018-01-02,20.63,64
64,600423,2018-01-02,20.65,65
65,002205,2018-01-02,20.68,66
66,600857,2018-01-02,20.77,67
67,300321,2018-01-02,20.89,68
68,600302,2018-01-02,20.9,69
69,600696,2018-01-02,20.94,70
70,603991,2018-01-02,20.96,71
71,300126,2018-01-02,21.04,72
72,300557,2018-01-02,21.15,73
73,002420,2018-01-02,21.17,74
74,300592,2018-01-02,21.23,75
75,300509,2018-01-02,21.26,76
76,600099,2018-01-02,21.3,77
77,300062,2018-01-02,21.38,78
78,300254,2018-01-02,21.41,79
79,603330,2018-01-02,21.43,80
80,300442,2018-01-02,21.47,81
81,002207,2018-01-02,21.5,82
82,300211,2018-01-02,21.52,83
83,002816,2018-01-02,21.55,84
84,600156,2018-01-02,21.59,85
85,300464,2018-01-02,21.61,86
86,300214,2018-01-02,21.63,87
87,300139,2018-01-02,21.65,88
88,002857,2018-01-02,21.73,89
89,600493,2018-01-02,21.73,90
90,300665,2018-01-02,21.75,91
91,002758,2018-01-02,21.82,92
92,603633,2018-01-02,21.86,93
93,600860,2018-01-02,21.93,94
94,002134,2018-01-02,21.98,95
95,000014,2018-01-02,22.03,96
96,603329,2018-01-02,22.04,97
97,000929,2018-01-02,22.11,98
98,000668,2018-01-02,22.14,99
99,300329,2018-01-02,22.21,100
100,300460,2018-01-02,22.21,101
101,300535,2018-01-02,22.33,102
102,600455,2018-01-02,22.33,103
103,300305,2018-01-02,22.37,104
104,002778,2018-01-02,22.37,105
105,600444,2018-01-02,22.45,106
106,600796,2018-01-02,22.45,107
107,002862,2018-01-02,22.48,108
108,300622,2018-01-02,22.51,109
109,603041,2018-01-02,22.53,110
110,600769,2018-01-02,22.57,111
111,600095,2018-01-02,22.62,112
112,600573,2018-01-02,22.65,113
113,002888,2018-01-02,22.67,114
114,002725,2018-01-02,22.67,115
115,002890,2018-01-02,22.69,116
116,600767,2018-01-02,22.78,117
117,300605,2018-01-02,22.79,118
118,600421,2018-01-02,22.81,119
119,603269,2018-01-02,22.85,120
120,002808,2018-01-02,22.85,121
121,002810,2018-01-02,22.88,122
122,002395,2018-01-02,22.94,123
123,002667,2018-01-02,22.94,124
124,300720,2018-01-02,22.95,125
125,600883,2018-01-02,22.95,126
126,603028,2018-01-02,22.96,127
127,002200,2018-01-02,23.02,128
128,300275,2018-01-02,23.08,129
129,300515,2018-01-02,23.14,130
130,603701,2018-01-02,23.14,131
131,300598,2018-01-02,23.16,132
132,600689,2018-01-02,23.17,133
133,600235,2018-01-02,23.19,134
134,600560,2018-01-02,23.21,135
135,600540,2018-01-02,23.26,136
136,300539,2018-01-02,23.26,137
137,600193,2018-01-02,23.27,138
138,600128,2018-01-02,23.39,139
139,002800,2018-01-02,23.43,140
140,600731,2018-01-02,23.47,141
141,600847,2018-01-02,23.47,142
142,300390,2018-01-02,23.53,143
143,603536,2018-01-02,23.63,144
144,600202,2018-01-02,23.65,145
145,300283,2018-01-02,23.66,146
146,600980,2018-01-02,23.67,147
147,300717,2018-01-02,23.67,148
148,002871,2018-01-02,23.7,149
149,300022,2018-01-02,23.77,150
150,300313,2018-01-02,23.78,151
151,600213,2018-01-02,23.83,152
152,603577,2018-01-02,23.84,153
153,300650,2018-01-02,23.89,154
154,603908,2018-01-02,23.9,155
155,300556,2018-01-02,23.93,156
156,603033,2018-01-02,24.02,157
157,000953,2018-01-02,24.05,158
158,300501,2018-01-02,24.06,159
159,300647,2018-01-02,24.06,160
160,600371,2018-01-02,24.08,161
161,603319,2018-01-02,24.11,162
162,300631,2018-01-02,24.17,163
163,603617,2018-01-02,24.21,164
164,002066,2018-01-02,24.21,165
165,002835,2018-01-02,24.26,166
166,300587,2018-01-02,24.27,167
167,300243,2018-01-02,24.29,168
168,002105,2018-01-02,24.32,169
169,002858,2018-01-02,24.32,170
170,300670,2018-01-02,24.33,171
171,002272,2018-01-02,24.38,172
172,600462,2018-01-02,24.39,173
173,603860,2018-01-02,24.4,174
174,300652,2018-01-02,24.46,175
175,300239,2018-01-02,24.52,176
176,300093,2018-01-02,24.52,177
177,300715,2018-01-02,24.54,178
178,300521,2018-01-02,24.55,179
179,002150,2018-01-02,24.6,180
180,300593,2018-01-02,24.7,181
181,600793,2018-01-02,24.7,182
182,603022,2018-01-02,24.72,183
183,600137,2018-01-02,24.74,184
184,300586,2018-01-02,24.79,185
185,603499,2018-01-02,24.82,186
186,300555,2018-01-02,24.84,187
187,300563,2018-01-02,24.87,188
188,002144,2018-01-02,24.87,189
189,002849,2018-01-02,24.88,190
190,600091,2018-01-02,24.89,191
191,300651,2018-01-02,24.9,192
192,002687,2018-01-02,24.91,193
193,000785,2018-01-02,24.92,194
194,300680,2018-01-02,24.93,195
195,300371,2018-01-02,24.94,196
196,300550,2018-01-02,25.0,197
197,600615,2018-01-02,25.01,198
198,002883,2018-01-02,25.02,199
199,600080,2018-01-02,25.03,200
200,603516,2018-02-01,0.0,1
201,603680,2018-02-01,0.0,2
202,603709,2018-02-01,0.0,3
203,603712,2018-02-01,0.0,4
204,603871,2018-02-01,0.0,5
205,600432,2018-02-01,0.0,6
206,603156,2018-02-01,0.0,7
207,300644,2018-02-01,0.0,8
208,300740,2018-02-01,0.0,9
209,600806,2018-02-01,0.0,10
210,600901,2018-02-01,0.0,11
211,002926,2018-02-01,0.0,12
212,002927,2018-02-01,0.0,13
213,000511,2018-02-01,0.0,14
214,000629,2018-02-01,0.0,15
215,000950,2018-02-01,0.0,16
216,002473,2018-02-01,13.09,17
217,300106,2018-02-01,13.95,18
218,300028,2018-02-01,14.03,19
219,300354,2018-02-01,14.91,20
220,300489,2018-02-01,14.97,21
221,002633,2018-02-01,15.15,22
222,600778,2018-02-01,15.42,23
